timestamp,label,ch1_theta,ch1_alpha,ch1_beta,ch1_gamma,ch1_beta_alpha,ch1_beta_theta_alpha,ch1_one_over_alpha,ch1_rms,ch2_theta,ch2_alpha,ch2_beta,ch2_gamma,ch2_beta_alpha,ch2_beta_theta_alpha,ch2_one_over_alpha,ch2_rms,ch3_theta,ch3_alpha,ch3_beta,ch3_gamma,ch3_beta_alpha,ch3_beta_theta_alpha,ch3_one_over_alpha,ch3_rms,ch4_theta,ch4_alpha,ch4_beta,ch4_gamma,ch4_beta_alpha,ch4_beta_theta_alpha,ch4_one_over_alpha,ch4_rms,ch5_theta,ch5_alpha,ch5_beta,ch5_gamma,ch5_beta_alpha,ch5_beta_theta_alpha,ch5_one_over_alpha,ch5_rms,ch6_theta,ch6_alpha,ch6_beta,ch6_gamma,ch6_beta_alpha,ch6_beta_theta_alpha,ch6_one_over_alpha,ch6_rms,ch7_theta,ch7_alpha,ch7_beta,ch7_gamma,ch7_beta_alpha,ch7_beta_theta_alpha,ch7_one_over_alpha,ch7_rms,ch8_theta,ch8_alpha,ch8_beta,ch8_gamma,ch8_beta_alpha,ch8_beta_theta_alpha,ch8_one_over_alpha,ch8_rms,avg_beta_alpha,avg_beta_theta_alpha,avg_one_over_alpha
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
